ID,NAME,ICAO,Callsign,Country,Active
3,1Time Airline,RNX,NEXTIME,South Africa,Y
10,40-Mile Air,MLA,MILE-AIR,United States,Y
13,Ansett Australia,AAA,ANSETT,Australia,Y
21,Aigle Azur,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,AAH,ALOHA,United States,Y
24,American Airlines,AAL,AMERICAN,United States,Y
28,Asiana Airlines,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,AAS,AL-AAS,Pakistan,Y
32,Afriqiyah Airways,AAW,AFRIQIYAH,Libya,Y
35,Allegiant Air,AAY,ALLEGIANT,United States,Y
42,ABSA - Aerolinhas Brasileiras,TUS,ABSA Cargo,Brazil,Y
55,Astral Aviation,ACP,ASTRAL CARGO,Kenya,Y
72,Ada Air,ADE,ADA AIR,Albania,Y
83,Adria Airways,ADR,ADRIA,Slovenia,Y
90,Air Europa,AEA,EUROPA,Spain,Y
93,Aero Benin,AEB,AEROBEN,Benin,Y
96,Aegean Airlines,AEE,AEGEAN,Greece,Y
106,Air Europe,AEL,AIR EUROPE,Italy,Y
109,Alaska Central Express,AER,ACE AIR,United States,Y
110,ACES Colombia,AES,ACES,Colombia,Y
112,Astraeus,AEU,FLYSTAR,United Kingdom,Y
114,Aerosvit Airlines,AEW,AEROSVIT,Ukraine,Y
116,Air Italy,AEY,AIR ITALY,Italy,Y
120,Alliance Airlines,UTY,UNITY,Australia,Y
125,Ariana Afghan Airlines,AFG,ARIANA,Afghanistan,Y
130,Aeroflot Russian Airlines,AFL,AEROFLOT,Russia,Y
132,Air Bosna,BON,AIR BOSNA,Bosnia and Herzegovina,Y
137,Air France,AFR,AIRFRANS,France,Y
139,Air Caledonie International,ACI,AIRCALIN,France,Y
149,Air Cargo Carriers,SNC,NIGHT CARGO,United States,Y
153,Air Namibia,NMB,NAMIBIA,Namibia,Y
165,Aerolitoral,SLI,COSTERA,Mexico,Y
174,Air Glaciers,AGV,AIR GLACIERS,Switzerland,Y
176,Aviogenex,AGX,GENEX,Serbia,Y
179,Aeroper,PLI,Aeroperu,Peru,Y
180,Atlas Blue,BMM,ATLAS BLUE,Morocco,Y
197,Azerbaijan Airlines,AHY,AZAL,Azerbaijan,Y
198,Avies,AIA,AVIES,Estonia,Y
208,Airblue,ABQ,PAKBLUE,Pakistan,Y
210,Airlift International,AIR,AIRLIFT,United States,Y
214,Air Berlin,BER,AIR BERLIN,Germany,Y
218,Air India Limited,AIC,AIRINDIA,India,Y
220,Air Bourbon,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,ABD,ATLANTA,Iceland,Y
225,Air Tahiti Nui,THT,TAHITI AIRLINES,France,Y
231,Arkia Israel Airlines,AIZ,ARKIA,Israel,Y
239,Air Jamaica,AJM,JAMAICA,Jamaica,Y
240,Air One,ADH,HERON,Italy,Y
241,Air Sahara,RSH,SAHARA,India,Y
242,Air Malta,AMC,AIR MALTA,Malta,Y
250,Air Japan,AJX,AIR JAPAN,Japan,Y
252,Air Korea Co. Ltd.,AKA,,Republic of Korea,Y
263,Air Kiribati,AKL,,Kiribati,Y
281,America West Airlines,AWE,CACTUS,United States,Y
282,Air Wisconsin,AWI,AIR WISCONSIN,United States,Y
286,Tatarstan Airlines,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,ALO,ALLEGHENY,United States,Y
295,Air Sunshine,RSI,AIR SUNSHINE,United States,Y
306,Air Malawi,AML,MALAWI,Malawi,Y
315,ATA Airlines,AMT,AMTRAN,United States,Y
316,Air Macau,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,AMV,,Egypt,Y
319,Air Seychelles,SEY,SEYCHELLES,Seychelles,Y
321,AeroMéxico,AMX,AEROMEXICO,Mexico,Y
324,All Nippon Airways,ANA,ALL NIPPON,Japan,Y
327,Air Nostrum,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,ACA,AIR CANADA,Canada,Y
333,Air Baltic,BTI,AIRBALTIC,Latvia,Y
336,Air Nippon,ANK,ANK AIR,Japan,Y
